Entry Time,Exit Time,Symbol,Entry Price,Exit Price,Quantity,PnL ($),PnL (%),Win/Loss,Entry Reason,Exit Reason,Hold Time (min),Trailing Stop Used,Highest Price,Capital After,Notes
2026-02-13 19:07:36.831302,2026-02-13T23:12:18.829271,TNSRUSDT,0.05861,0.0556795,34123.86964681795,-100.00000000000009,-5.000000000000004,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,Stop Loss,245.0,No,0.05884,9985.358478333706,TNSRUSDT_2026-02-13T19:07:36.831302
2026-02-13 20:34:23.292050,2026-02-14T01:34:03.415801,ZROUSDT,1.892,1.7974,1057.0824524312898,-100.00000000000004,-5.000000000000001,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,Stop Loss,300.0,No,1.911,9785.358478333706,ZROUSDT_2026-02-13T20:34:23.292050
2026-02-13 20:37:35.980330,2026-02-14T01:23:30.033309,STGUSDT,0.1663,0.157985,12026.458208057727,-100.0000000000002,-5.00000000000001,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,Stop Loss,286.0,No,0.1668,9885.358478333706,STGUSDT_2026-02-13T20:37:35.980330
2026-02-13 22:04:14.861642,2026-02-14T09:10:51.230035,LQTYUSDT,0.278,0.276,7194.24,-14.39,-0.72,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,手動リセット（資金管理修正）,0.0,No,0.276,10000.0,強制クローズ（クリーンスタート）
2026-02-13 23:47:34.238552,2026-02-14T09:10:51.230035,TNSRUSDT,0.05612,0.05533,35637.92,-28.15,-1.41,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,手動リセット（資金管理修正）,0.0,No,0.05533,10000.0,強制クローズ（クリーンスタート）
2026-02-14 03:11:20.342397,2026-02-14T09:10:51.230035,ZROUSDT,1.815,1.832,1101.93,18.73,0.94,Win,SMA/EMA反発 + MACD上抜け + 出来高増,手動リセット（資金管理修正）,0.0,No,1.832,10000.0,強制クローズ（クリーンスタート）
2026-02-14 04:57:49.804058,2026-02-14T09:10:51.230035,STGUSDT,0.1583,0.159,12634.24,8.84,0.44,Win,SMA/EMA反発 + MACD上抜け + 出来高増,手動リセット（資金管理修正）,0.0,No,0.159,10000.0,強制クローズ（クリーンスタート）
2026-02-14 09:23:51.582785,,LQTYUSDT,0.278,,7194.244604316546,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.278,8000.0,ポジションID: LQTYUSDT_2026-02-14T09:23:51.582785
2026-02-14 09:52:18.928695,,MANTAUSDT,0.0815,,19631.9018404908,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.0815,6400.0,ポジションID: MANTAUSDT_2026-02-14T09:52:18.928695
2026-02-14 09:54:35.532006,,TNSRUSDT,0.05809,,22034.773627130315,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.05809,5120.0,ポジションID: TNSRUSDT_2026-02-14T09:54:35.532006
